suffix,param,mapper,net,scale,batch,cost,method,tot_energy,tot_cycle,tot_cost,impr_energy,impr_cycle,impr_cost,ubuf_energy,buffer_energy,bus_energy,mac_energy,noc_energy,dram_energy,max_depth,leaf_avg_depth,avg_depth,max_elapsed,valid %,accept %
tangram,,eyeriss,goog,12,1,ed,BASE,3.984e+09,134457,5.357e+14,1.8971428571428572,2.337406995341075,4.434602649006623,1.726e+08,5.514e+08,6.068e+05,3.151e+07,2.067e+09,1.161e+09,1,1.0,1.0,0,0,0
tangram,,eyeriss,goog,12,1,ed,LP-SA,2.107e+09,98523,2.076e+14,1.0033333333333334,1.712728600236423,1.718543046357616,7.305e+07,4.958e+08,3.153e+05,2.959e+07,9.219e+08,5.867e+08,2,1.9583333333333333,1.896103896103896,136,100.0,36.5175
tangram,,eyeriss,goog,12,1,ed,LS-SA,3.173e+09,86771,2.754e+14,1.510952380952381,1.5084312634726376,2.2798013245033113,1.688e+08,5.55e+08,7.012e+05,3.164e+07,1.688e+09,7.291e+08,2,1.9861111111111112,1.9102564102564104,481,100.0,41.94
tangram,,eyeriss,goog,12,1,ed,SA-BASE,2.1e+09,57524,1.208e+14,1.0,1.0,1.0,1.017e+08,5.126e+08,4.322e+05,3.011e+07,9.58e+08,4.966e+08,5,3.4027777777777777,3.216494845360825,406,99.4725,31.1375
tangram,,eyeriss,goog,12,64,ed,BASE,1.378e+11,5503536,7.582e+17,2.4226441631504922,4.5877174848119076,11.110785463071512,2.38e+09,3.257e+10,1.347e+07,1.968e+09,5.331e+10,4.753e+10,1,1.0,1.0,0,0,0
tangram,,eyeriss,goog,12,64,ed,LP-SA,7.768e+10,1727205,1.342e+17,1.3656821378340365,1.4397886337719152,1.966588511137163,3.175e+09,3.181e+10,2.347e+07,1.901e+09,2.638e+10,1.439e+10,2,1.9861111111111112,1.922077922077922,2230,87.6925,34.144999999999996
tangram,,eyeriss,goog,12,64,ed,LS-SA,8.706e+10,2779634,2.42e+17,1.530590717299578,2.317087687475409,3.5463071512309496,2.487e+09,3.211e+10,1.365e+07,1.938e+09,2.931e+10,2.119e+10,2,1.9722222222222223,1.9090909090909092,6463,99.22500000000001,41.495000000000005
tangram,,eyeriss,goog,12,64,ed,SA-BASE,5.688e+10,1199624,6.824e+16,1.0,1.0,1.0,2.997e+09,3.133e+10,2.807e+07,1.873e+09,1.258e+10,8.081e+09,4,2.1944444444444446,2.1481481481481484,1987,85.39750000000001,27.395
tangram,,eyeriss,goog,12,8,ed,BASE,1.978e+10,730860,1.446e+16,2.0924574209245743,4.195522388059701,8.77959927140255,5.276e+08,4.07e+09,2.468e+06,2.431e+08,8.625e+09,6.314e+09,1,1.0,1.0,0,0,0
tangram,,eyeriss,goog,12,8,ed,LP-SA,1.052e+10,291525,3.068e+15,1.1128742198243944,1.6735074626865671,1.8627808136004858,3.723e+08,3.973e+09,2.76e+06,2.372e+08,3.62e+09,2.319e+09,2,1.9583333333333333,1.9078947368421053,1424,90.5825,31.2075
tangram,,eyeriss,goog,12,8,ed,LS-SA,1.345e+10,377509,5.077e+15,1.4228287316195916,2.1671010332950633,3.082574377656345,5.427e+08,4.109e+09,2.679e+06,2.448e+08,5.593e+09,2.957e+09,2,1.9583333333333333,1.8625,6831,100.0,34.8525
tangram,,eyeriss,goog,12,8,ed,SA-BASE,9.453e+09,174200,1.647e+15,1.0,1.0,1.0,5.974e+08,4.099e+09,5.253e+06,2.411e+08,3.506e+09,1.004e+09,5,3.486111111111111,3.1826923076923075,832,87.055,27.1875
tangram,,eyeriss,goog,4,1,ed,BASE,2.165e+09,1202790,2.604e+15,1.8056713928273562,2.627779804728208,4.745762711864407,6.547e+07,4.812e+08,3.253e+05,2.879e+07,4.342e+08,1.155e+09,1,1.0,1.0,0,0,0
tangram,,eyeriss,goog,4,1,ed,LP-SA,1.488e+09,804479,1.197e+15,1.2410341951626356,1.757575029330094,2.1815199562602516,4.385e+07,4.809e+08,2.591e+05,2.889e+07,2.566e+08,6.772e+08,2,1.9583333333333333,1.8313253012048192,4,90.8775,45.904999999999994
tangram,,eyeriss,goog,4,1,ed,LS-SA,1.653e+09,786903,1.301e+15,1.378648874061718,1.7191760919861663,2.371058866411518,6.488e+07,4.818e+08,3.362e+05,2.879e+07,3.407e+08,7.362e+08,2,2.0,1.9113924050632911,18,100.0,39.3875
tangram,,eyeriss,goog,4,1,ed,SA-BASE,1.199e+09,457721,5.487e+14,1.0,1.0,1.0,4.906e+07,4.805e+08,2.858e+05,2.881e+07,2.014e+08,4.389e+08,6,3.6944444444444446,3.4245283018867925,17,91.95,38.3675
tangram,,eyeriss,goog,4,64,ed,BASE,9.516e+10,49404796,4.701e+18,1.9979004828889355,4.1835081119154225,8.35881934566145,1.831e+09,3.037e+10,1.189e+07,1.838e+09,1.37e+10,4.74e+10,1,1.0,1.0,0,0,0
tangram,,eyeriss,goog,4,64,ed,LP-SA,7.204e+10,28514556,2.054e+18,1.5124921268108336,2.414560649813564,3.6522048364153625,2.03e+09,3.114e+10,1.465e+07,1.879e+09,9.86e+09,2.711e+10,2,1.9722222222222223,1.8333333333333333,10,85.205,44.895
tangram,,eyeriss,goog,4,64,ed,LS-SA,6.303e+10,24474928,1.543e+18,1.3233256351039262,2.072492310798043,2.7435988620199145,2.347e+09,3.068e+10,1.973e+07,1.843e+09,7.339e+09,2.08e+10,2,2.0,1.9230769230769231,52,92.61500000000001,38.4675
tangram,,eyeriss,goog,4,64,ed,SA-BASE,4.763e+10,11809418,5.624e+17,1.0,1.0,1.0,2.396e+09,3.075e+10,2.075e+07,1.846e+09,4.778e+09,7.83e+09,7,3.9027777777777777,3.5309734513274336,9,76.415,37.269999999999996
tangram,,eyeriss,goog,4,8,ed,BASE,1.263e+10,6556080,8.277e+16,1.9532941540364985,4.453302032898062,8.695241096753861,2.764e+08,3.798e+09,1.518e+06,2.298e+08,2.026e+09,6.294e+09,1,1.0,1.0,0,0,0
tangram,,eyeriss,goog,4,8,ed,LP-SA,9.051e+09,3735304,3.381e+16,1.3997834828332818,2.537253495486977,3.551843681058935,3.388e+08,3.934e+09,2.832e+06,2.36e+08,1.344e+09,3.196e+09,2,1.875,1.7590361445783131,10,86.525,44.83
tangram,,eyeriss,goog,4,8,ed,LS-SA,8.527e+09,3378656,2.881e+16,1.3187442004330343,2.2949957342288734,3.026578422103162,2.771e+08,3.798e+09,1.537e+06,2.298e+08,1.202e+09,3.019e+09,2,1.9722222222222223,1.8860759493670887,73,95.89,38.3425
tangram,,eyeriss,goog,4,8,ed,SA-BASE,6.466e+09,1472184,9.519e+15,1.0,1.0,1.0,3.093e+08,3.911e+09,2.32e+06,2.352e+08,7.618e+08,1.246e+09,6,3.736111111111111,3.443396226415094,20,80.7375,32.120000000000005
tangram,,eyeriss,resnet,12,1,ed,BASE,1.14e+10,435370,4.963e+15,1.580479689449605,2.104711029465084,3.326407506702413,4.447e+08,1.384e+09,1.729e+06,7.818e+07,5.729e+09,3.761e+09,1,1.0,1.0,0,0,0
tangram,,eyeriss,resnet,12,1,ed,LP-SA,8.019e+09,420103,3.369e+15,1.111742686815472,2.030905706896135,2.258042895442359,2.894e+08,1.309e+09,1.355e+06,7.53e+07,3.869e+09,2.475e+09,2,1.8333333333333333,1.7142857142857142,90,95.3875,28.115
tangram,,eyeriss,resnet,12,1,ed,LS-SA,8.67e+09,278335,2.413e+15,1.2019963953971995,1.3455560658432235,1.6172922252010724,4.425e+08,1.419e+09,2.148e+06,7.96e+07,4.364e+09,2.364e+09,2,2.0,1.9350649350649352,477,100.0,17.1325
tangram,,eyeriss,resnet,12,1,ed,SA-BASE,7.213e+09,206855,1.492e+15,1.0,1.0,1.0,3.575e+08,1.327e+09,1.5e+06,7.493e+07,3.706e+09,1.746e+09,6,3.3333333333333335,3.1881188118811883,938,88.8575,16.395000000000003
tangram,,eyeriss,resnet,12,64,ed,BASE,3.959e+11,16760959,6.636e+18,2.135382955771305,3.9724351055953147,8.48159509202454,6.675e+09,8.084e+10,3.399e+07,4.808e+09,1.602e+11,1.434e+11,1,1.0,1.0,0,0,0
tangram,,eyeriss,resnet,12,64,ed,LP-SA,3.292e+11,9223193,3.036e+18,1.7756202804746495,2.1859450678735604,3.8803680981595092,1.559e+10,8.248e+10,7.58e+07,4.82e+09,1.474e+11,7.88e+10,2,1.9027777777777777,1.7471264367816093,1755,71.6675,18.1375
tangram,,eyeriss,resnet,12,64,ed,LS-SA,2.269e+11,7919144,1.797e+18,1.2238403451995685,1.876878622032576,2.2967791411042944,8.7e+09,8.223e+10,6.434e+07,4.814e+09,7.561e+10,5.552e+10,2,2.0,1.9113924050632911,4343,93.515,30.8675
tangram,,eyeriss,resnet,12,64,ed,SA-BASE,1.854e+11,4219316,7.824e+17,1.0,1.0,1.0,1.24e+10,8.238e+10,1.245e+08,4.763e+09,6.13e+10,2.448e+10,4,2.736111111111111,2.5425531914893615,2093,66.29249999999999,18.705
tangram,,eyeriss,resnet,12,8,ed,BASE,5.681e+10,2229827,1.267e+17,1.9684684684684686,3.1410880558959837,6.183504148365056,1.428e+09,1.02e+10,7.016e+06,6e+08,2.531e+10,1.927e+10,1,1.0,1.0,0,0,0
tangram,,eyeriss,resnet,12,8,ed,LP-SA,4.559e+10,1288061,5.872e+16,1.5796950796950797,1.8144515347448196,2.865788189360664,2.237e+09,1.029e+10,1.074e+07,5.981e+08,2.133e+10,1.113e+10,2,1.9166666666666667,1.75,628,73.02,17.815
tangram,,eyeriss,resnet,12,8,ed,LS-SA,3.543e+10,1092028,3.869e+16,1.2276507276507276,1.538305934722281,1.8882381649585163,1.699e+09,1.066e+10,1.129e+07,6.132e+08,1.407e+10,8.375e+09,2,2.0,1.9230769230769231,3316,97.37000000000002,24.11
tangram,,eyeriss,resnet,12,8,ed,SA-BASE,2.886e+10,709890,2.049e+16,1.0,1.0,1.0,1.767e+09,1.031e+10,1.467e+07,5.946e+08,1.109e+10,5.083e+09,5,3.013888888888889,2.795918367346939,2118,67.065,17.3525
tangram,,eyeriss,resnet,4,1,ed,BASE,6.546e+09,3939044,2.578e+16,1.583454281567489,1.9922979501663012,3.1539026180572547,1.931e+08,1.201e+09,1.073e+06,7.04e+07,1.299e+09,3.781e+09,1,1.0,1.0,0,0,0
tangram,,eyeriss,resnet,4,1,ed,LP-SA,5.542e+09,3573215,1.98e+16,1.3405902273826802,1.8072681899474796,2.422314656227061,1.561e+08,1.193e+09,8.195e+05,6.997e+07,1.084e+09,3.037e+09,2,1.6111111111111112,1.5176470588235293,3,73.00999999999999,26.8025
tangram,,eyeriss,resnet,4,1,ed,LS-SA,4.787e+09,2502491,1.198e+16,1.1579583938074505,1.2657151556594994,1.465622706141424,1.895e+08,1.196e+09,1.043e+06,7.014e+07,9.569e+08,2.373e+09,2,2.0,1.9473684210526316,16,100.0,16.9825
tangram,,eyeriss,resnet,4,1,ed,SA-BASE,4.134e+09,1977136,8.174e+15,1.0,1.0,1.0,1.598e+08,1.201e+09,8.778e+05,7.035e+07,8.338e+08,1.868e+09,6,3.0,2.882978723404255,33,75.26499999999999,15.5075
tangram,,eyeriss,resnet,4,64,ed,BASE,2.742e+11,152285040,4.176e+19,1.9502133712660028,3.132805834676273,6.109729334308705,5.833e+09,7.636e+10,3.779e+07,4.528e+09,4.254e+10,1.449e+11,1,1.0,1.0,0,0,0
tangram,,eyeriss,resnet,4,64,ed,LP-SA,2.325e+11,115127440,2.677e+19,1.6536273115220483,2.3684001774786445,3.916605705925384,6.482e+09,7.65e+10,4.909e+07,4.511e+09,3.65e+10,1.085e+11,2,1.7777777777777777,1.6511627906976745,13,63.355,23.615000000000002
tangram,,eyeriss,resnet,4,64,ed,LS-SA,1.666e+11,71342624,1.188e+19,1.1849217638691323,1.4676595201230238,1.7381126554498902,7.912e+09,7.643e+10,6.754e+07,4.489e+09,2.044e+10,5.722e+10,2,2.0,1.9113924050632911,28,91.795,11.67725
tangram,,eyeriss,resnet,4,64,ed,SA-BASE,1.406e+11,48609792,6.835e+18,1.0,1.0,1.0,8.943e+09,7.789e+10,7.928e+07,4.535e+09,2.015e+10,2.9e+10,4,2.7222222222222223,2.6021505376344085,19,72.1175,13.12275
tangram,,eyeriss,resnet,4,8,ed,BASE,3.646e+10,20266192,7.389e+17,1.8640081799591002,3.2094994963923957,5.982995951417004,7.953e+08,9.511e+09,3.958e+06,5.653e+08,6.127e+09,1.946e+10,1,1.0,1.0,0,0,0
tangram,,eyeriss,resnet,4,8,ed,LP-SA,3.094e+10,15830928,4.898e+17,1.581799591002045,2.5070992835469177,3.9659919028340083,7.855e+08,9.542e+09,5.276e+06,5.629e+08,4.973e+09,1.507e+10,2,1.8194444444444444,1.6941176470588235,14,65.265,24.225
tangram,,eyeriss,resnet,4,8,ed,LS-SA,2.285e+10,9663492,2.208e+17,1.168200408997955,1.53037989117008,1.7878542510121458,1.012e+09,9.569e+09,7.456e+06,5.622e+08,3.299e+09,8.398e+09,2,2.0,1.9113924050632911,21,91.935,13.875
tangram,,eyeriss,resnet,4,8,ed,SA-BASE,1.956e+10,6314440,1.235e+17,1.0,1.0,1.0,1.174e+09,9.725e+09,9.844e+06,5.683e+08,3.366e+09,4.713e+09,4,2.8055555555555554,2.649484536082474,11,75.35249999999999,14.76
